"title","date","tags","article"
"「遺伝子組換えでない」表示、厳格化を　消費者庁検討会","2018年1月31日21時07分","社会,サイエンス,食,環境・エネルギー,環境・企業や技術,有料記事","遺伝子組み換え（ＧＭ）食品の表示制度を議論する消費者庁の有識者検討会（座長＝湯川剛一郎・東京海洋大学教授）が３１日開かれた。実際にはＧＭ作物が混ざっているのに「遺伝子組換えでない」と任意表示できる現行の要件を厳格化し、混入率が実質ゼロの場合に限り、使えるようにする方向性を示した。現行の食品表示基準では、大豆やトウモロコシなど８作物と、それらを原材料とする豆腐などの３３加工食品群が表示対象となっている。生産や流通の段階でＧＭ作物が混ざらないように分別管理していれば、５％以下のＧＭ作物が含まれていても「遺伝子組換えでない」と表示できる。非ＧＭ大豆を船で輸入する際、それ以前にＧＭ大豆を運んだコンテナを使うと、清掃してもＧＭ大豆を完全に取り除くことができない。こういったケースを「意図せざる混入」として認めている。しかし、この表示について、ＧＭ技術の業界団体バイテク情報普及会が昨年、一般女性２千人を対象に実施した調査では７４％が「ＧＭ作物が全く含まれていない」と誤解していた。検討会は消費者団体や食品産業界の関係者ら計１０人で構成し、昨年春から議論。この日、消費者に誤解を与えないよう、「遺伝子組換えでない」という表示は、混入率が実質ゼロの場合に限って使うべきだ、との意見が多くの委員から出た。消費者庁の担当者は、実質ゼロに限った場合、「遺伝子組換えでない」と表示できる商品は減るとみている。消費者庁は外部機関に委託し、米国とカナダで生産された非ＧＭ大豆について検体調査を実施。２０１６年にまとめた結果では、日本に輸入された大豆５検体のうち２検体は０・１％の割合でＧＭ大豆が混ざっていた。新たな要件が導入された場合、「遺伝子組換えでない」と表示できなくなる混入率が５％以下の商品について、分別管理していることを示す新たな表示を導入する必要があるとの意見も出された。検討会は議論の結果を３月末までにまとめ、消費者庁に報告書を提出する予定。これを受け、政府は表示制度の見直しを検討する。（滝沢卓）"
"（教えて）石炭火力発電所、新しく造っちゃダメなの？","2018年1月30日16時30分","環境・エネルギー,環境・市民や行政,環境・企業や技術,有料記事","■ＣＯ２排出量が多く、効率も悪い。せめて天然ガス火力にしないと。石炭火力発電を考えるＱ　石炭火力発電所の建設計画に、環境相が厳しい意見を言ったね。Ａ　石炭火力の新増設は、国内で約４０基が計画されている。これまでも厳しい意見を言ってきたけれど、中川雅治環境相は今月、中国電力の新設計画に、地球温暖化対策がない限りは「（建設は）容認されるべきではない」という意見書を、世耕弘成経済産業相に出した。Ｑ　どうしてそういう意見を出したの？Ａ　発電の燃料に石炭を使うと、二酸化炭素（ＣＯ２）がたくさん出る。地球温暖化の主な原因はＣＯ２の排出が増えたことだから、石炭から脱却することは世界的な流れだ。Ｑ　石炭とほかの燃料で、発電所から出るＣＯ２はどう違うの？Ａ　燃料の種類別に、一定量のエネルギーをつくる際にどれだけ炭素を排出するかを示す「排出係数」という指標がある。火力発電所で主に使われる石炭（一般炭）と液化天然ガスで比較すると、液化天然ガスは石炭の５５％程度だ。太陽光や風力、水力発電などの再生可能エネルギーと原子力発電は、発電時には化石燃料を使わず、ＣＯ２が出ない。原子力発電は安全面に課題があるけれど、再生エネの推進は地球温暖化対策として効果が高いんだ。Ｑ　ずいぶん違うね。Ａ　環境ＮＧＯの気候ネットワークの分析によると、２０１４年度に火力発電所から排出されたＣＯ２のうち、石炭火力が４９％を占め、天然ガス火力は３７％だった。だが、発電量は石炭火力が３５％、天然ガス火力が５３％。分析を担当した桃井貴子さんは「化石燃料全体を減らして、再生エネを中心にした脱炭素社会へ持っていかないといけない。需給バランスを調整するために当面火力発電は必要なので、火力発電は天然ガスを中心に使うという方向性がこれからは必要」と話す。Ｑ　家庭でも電気を買う会社を選べるよね。Ａ　同じ燃料でも発電所によって効率が違うし、石炭も産地などで効率が違う。燃料種別の排出係数を元に効率などが加味された、会社ごとの「電気事業者別排出係数」を国が毎年１２月に公表していて、インターネットで見ることができるよ。（神田明美）"
"（スポーツ好奇心）Ｊ１神戸本拠、ハイブリッド芝に変身","2018年1月24日15時05分","スポーツ,サッカー,環境・エネルギー,環境・企業や技術,有料記事","サッカーＪ１ヴィッセル神戸の本拠、ノエビアスタジアム神戸（神戸市兵庫区）に３月、Ｊリーグの本拠では初めて天然芝と人工芝を両方使う「ハイブリッド芝」が導入される。お披露目は３月３日、神戸が清水エスパルスを迎えるホーム開幕戦だ。ハイブリッド芝とは何だろうか。特集：スポーツ好奇心ピッチ脇にカフェ構想「天然芝と人工芝を両方使う」といっても、ハイブリッド芝はピッチの９５％を天然芝が占める。人工芝（人工繊維）は天然芝がずれないように補強するためのものだ。天然芝をあらかじめ敷き、その上からポリエチレンの繊維を２センチおきにまんべんなく専用の機械で地中１８センチまで打ち込んで完成する。すると、根が繊維にからみついて強度が増し、はがれにくくなる。Ｊリーグの規約では、スタジアムのピッチは天然芝であることが定められていたが、ノエスタを所有する神戸市は天然芝の育成に苦しめられた。２００２年のサッカーＷ杯開催に合わせて改築されたノエスタには、可動式の屋根が設けられた。夏の日差しや雨から守ることはできるが、屋根を開けてもピッチ内に陰ができ、風通しも悪かった。決定打は猛暑が続いた１５年夏。７月のＪ１の試合で選手がゴール前に滑り込むと、芝生がめくれあがり土がむき出しになった。使用していた寒地芝は暑さと湿気に弱かった。神戸市とヴィッセルは問題解決に試行錯誤した。ヴィッセルの三木谷研一副会長らがその年、欧州に出向き、バルセロナ、バイエルン・ミュンヘンなど強豪クラブを視察。そこで見聞きしたハイブリッド芝が解決策として浮かんだ。スタジアム部の担当、新美宏弥さんは「世界のトップクラブは常に改善、前進していると衝撃を受けた」。天然芝のときは毎年１度は全面張り替えをしていたが、ハイブリッド芝なら張り替えの必要が全くなくなるためコスト減も期待でき、耐久性もあるため稼働率も上げられる。早速、ノエスタのピッチサイドやヴィッセルの練習場の一部で試験的に導入した。選手から「踏ん張っても芝がずれてしまう感覚がなく、力を十分に地面に伝えられた」といった好反応が得られた。１７年７月のＪリーグ理事会で使用許可が得られた。ハイブリッド芝導入にあわせ、芝の育成に必要な「日照時間」「地温」「風通し」のための設備も導入される予定だ。光合成を促す照明「グローライト」と、地面の温度を実際の温度より夏は５度低く、冬は５度高く保つため温水や冷水のホース「地温コントロール」を地中に通し、大型の可動式送風機６台も併用する予定だ。昨年１０月から早速張り替えが始まっている。今年４月から１０年間は、ヴィッセルがノエスタの管理運営事業者になり、芝の管理を全面的に引き受ける。また、一般社団法人ヴィッセル神戸スポーツクラブがハイブリッド芝のイギリスのメーカー「ＳＩＳ」の日本代理店になる。ＳＩＳのハイブリッド芝は、６月開幕のロシアＷ杯でも１２会場の半数に導入されており、今後日本各地のサッカー場やゴルフ場への導入に動いていくという。ノエスタはラグビー・トップリーグ神戸製鋼の試合も行われ、１９年のラグビーＷ杯の会場でもある。三木谷副会長は「コンディションの良いグラウンドを作り、最高のプレーをして欲しい」。神戸市建設局の担当者、大西潤さんは「世界のみなさんが使うスタジアムとして最高の状態で迎えたい」と期待を込めている。（橋本佳奈）"
"連載：リレーおぴにおん","2018年1月24日05時00分","環境・エネルギー,環境・企業や技術,オピニオン,経済オピニオン,リレーおぴにおん,有料記事","自動車を動かすのは石油に代表される「地下資源」です。これらは社会に豊かさや利便性をもたらす一方、紛争を招く要因にもなっています。ベンチャー企業である我が社の究極の目標は、地上にある有機物をリサイクルで循環させる社会をつくり、世界から戦争を減らすこと。その第一歩として、２０１５年にＳＦ映画「バック・トゥ・ザ・フューチャー」に登場する車型タイムマシン「デロリアン」を再現しました。ゴミを燃料にタイムスリップする車。「未来はこんな車が走っているんだろうなあ」。衣類や携帯電話のリサイクル会社を創業した頃から、思い描いていた夢でした。当社のデロリアンは古着からつくったバイオ燃料で走ります。厳密にはゴミではありませんが、こんな車は世界で１台だけ。今も各地の商業施設や環境イベントに引っ張りだこです。古着をもってきてくださいと呼びかけて、訪れたお客さんにバイオ燃料で動く車にのってもらい、記念写真を撮る。ハリウッド映画のワンシーンを再現できることを肌で実感すれば、消費者には楽しくリサイクルに参加し、環境に貢献しようという意識が生まれます。かつて衣服は小型家電を上回る年間１７０万トンが廃棄され、うち８割が焼却・埋め立てにまわるなどリサイクルが進んでいませんでした。トウモロコシからバイオ燃料がつくれるのならば、綿からもつくれるのではないか。東大院生だった高尾正樹（現社長）と組み、綿繊維を糖化・発酵させてバイオ燃料をつくる技術を開発しました。循環型社会をつくるには消費者、メーカー、流通など全員参加型の仕組みをつくることが最も大切です。衣服のリサイクルは当初、各企業がばらばらで取り組んでいたために高コストで、ビジネスとして広がらなかった。「みんなでリサイクルの社会文化をつくりましょう」と提案すると、良品計画やイオンリテール、パタゴニアなど大手小売業者が相次いで賛同してくれて軌道にのりました。電気自動車が主流になっていく自動車産業でバイオ燃料を浸透させるのは難しそうですが、悲観はしていません。航空業界では二酸化炭素の排出量を削減する手段としてバイオジェット燃料が注目されており、導入が検討されています。我が社も綿繊維から燃料をつくる取り組みに参加していて、２０年の試験運航を目指しています。未来のブランド力は製品のデザインではなく、それを裏打ちする思想や哲学になっていくでしょう。地上の有機物だけでつくる日本車ができれば、真の「メイド・イン・ジャパン」の復活になると思います。（聞き手・日浦統）＊いわもとみちひこ　日本環境設計会長　１９６４年鹿児島生まれ。繊維商社を経て、２００７年に日本環境設計（本社・東京）を共同で創業。著書に「『捨てない未来』はこのビジネスから生まれる」。"
"（ｅｃｏ活プラス）地球にやさしいカレンダー　間伐の大切さＰＲ・とじ具工夫","2018年1月23日16時30分","環境・エネルギー,環境・企業や技術,有料記事","壁掛けや卓上、パソコンの画面――。１月から、家庭やオフィスで新しいカレンダーが使われ始めた。環境に配慮した材料や印刷によるものや、省エネに役立つヒントが掲載されたものも増えている。紙を１枚ずつめくっていくと、放置されていた暗い森が、間伐によって明るくなり、徐々に生き物が戻ってくる様子が再現された。森林管理を手がける企業「森と踊る」（東京都八王子市）が、間伐の大切さをＰＲする今年のカレンダーだ。紙をとじる素材には間伐材を使っている。「全国カレンダー展」で入賞した。カレンダーを作ったＤＮＰコミュニケーションデザインの川口佐久良課長は「環境に配慮した企業カレンダーは今では当たり前になってきました」と話す。昨年のカレンダー展では、紙をとじる部分に、金属を使わない加工を施したものが６割以上を占めたという。カレンダーの印刷に、風力やバイオマスなど自然エネルギーを使ったり、適切な森林管理の国際基準「ＦＳＣ認証」を受けた紙を使ったりして、環境配慮をアピールするものもある。企業カレンダーを手がける大日本印刷によると、カレンダーの紙をとじる部分は２０年ほど前まで金属製が多かったが、現在ほとんど使われていない。古紙に再生しやすい接着剤加工や、紙製のリングが主流になっているという。印刷に使うインクには、石油から作られる溶剤が入っているものが多かったが、植物油への代替など「脱石油」も進む。同社情報イノベーション事業部の水野剛秀リーダーは「印刷時のエネルギーや廃棄物の削減にも取り組んでいます」という。紙を使わず、パソコン画面の壁紙カレンダーもある。環境省は「国立公園カレンダー」をホームページで配布中。四季折々の風景を集めたもので、１月の画像は鹿児島・宮崎両県にまたがる霧島錦江湾国立公園だ。内容で環境配慮を目指すカレンダーもある。家庭で使い続けることで、地球温暖化の原因になる二酸化炭素（ＣＯ２）の削減や、電気やガス代の節約に活用できる。愛知県の春日井市では２０１０年から「環境カレンダー」を作っている。深刻さを増す温暖化がきっかけだ。毎月の電気やガスの使用量からＣＯ２排出量を簡単にチェックできる「環境家計簿」と資源・ごみ収集日のカレンダーを組み合わせた。１７年は１４万部を発行し、市民らに配布した。徳島市では、０４年から「エコライフカレンダー」を作っている。家庭で取り組める省エネのヒントや、環境家計簿を掲載。市外在住者でも使えるデザインで、ホームページからダウンロードできる。同市環境保全課の和喜紀子さんは「毎年楽しみにしてくださっている方もいます」と話している。（小堀龍之）＜ｅｃｏ活の鍵＞「環境」に配慮したカレンダーで家庭に最も身近なのは、自治体が作るカレンダーだ。徳島市や春日井市のように、「環境家計簿」を組み合わせたものも多い。環境家計簿を使って取り組める対策例として、電化製品の一部を利用しないときにも、コンセントにつなげていると消費されてしまう「待機電力」の削減が挙げられる。資源エネルギー庁の調査によれば、世帯あたりの全消費電力の約５％、２２８キロワット時（２０１２年度）を占める。電気代を１キロワット時２７円とすると６千円以上になる計算で、減らす余地がある。＊ｅｃｏ活（エコカツ）プラス"
"（ｅｃｏ活プラス）ホテルでできる省資源　マイ歯ブラシが森づくり寄付に","2018年1月16日16時30分","環境・エネルギー,環境・企業や技術,有料記事","使い捨ての歯ブラシやヘアブラシ、料理の大量の食べ残しなど、ホテルのサービスは、環境面では課題も少なくない。宿泊客がホテルとともに、エコを実践できる仕組みづくりが広がっている。東急ホテルやエクセルホテル東急など、「東急ホテルズ」が運営する４０ホテルの客室には、緑色の丸い「グリーンコイン」が置いてある。宿泊客が、部屋に備え付けられた歯ブラシやヘアブラシなどのアメニティーを使わず、このコインをフロントに持っていくと、アメニティーの実費分が国内外の森づくり活動に寄付される。２００１年に始まり、アジア・太平洋地域で子どもたちが学校の敷地などに植林する、公益財団法人オイスカの活動を支援している。水源地でもある山梨県丹波山村の森林の手入れや植林にも使われている。ここ数年、宿泊客がフロントへ持っていくグリーンコインは年８万枚前後。同社の三井徹哉さんは「知っていたら歯ブラシやカミソリを持ってきた、と思う方もいる。事前の告知にさらに力を入れたい」と話す。宿泊客が環境への取り組みも考えてホテルを選ぶ場合、製品やサービスが環境保全に役立っていると認められた環境ラベル「エコマーク」も参考になる。廃棄物の削減、リサイクルや、省エネルギー、節水、立地している地域の環境への配慮など、幅広い基準を満たす必要があり、国内のホテルでは現在、７カ所が取得している。「帝国ホテル」は１６年、直営４ホテルすべてでエコマークを取得した。同社の北野裕太さんは「最高のサービスと同時に、環境にもよいホテルであることを目指している」。客室にごみ箱は一つだが、ごみを回収した後、約２０種類に分別する。生ごみの食品廃棄物は、肥料にして野菜の契約農家に利用してもらい、その野菜をレストランや従業員用の食堂で使っている。国際的なホテルの環境認証「グリーンキー」もある。デンマークで始まった制度で欧州で特に普及しており、現在５６カ国２７００施設が取得している。国内でこの認証を取得した「ホテルリッチ＆ガーデン酒田」（山形県酒田市）では、取り組みの一環として、連泊客がシーツ交換を不要と申し出た場合、１泊につき１００円を、森づくりや環境教育をするＮＰＯ法人グリーンサンタ基金に寄付している。グリーンキー認証の日本の窓口、ＮＰＯ法人「ＦＥＥ　Ｊａｐａｎ」の伊藤正侑子代表理事は「ホテル従業員、出入り業者、宿泊客を含め、地域全体で協力する仕組み。国内で、ほかに取得を目指している宿泊施設もあり、広がっていくと思う」と話している。（神田明美）＜ｅｃｏ活の鍵＞連泊時に、シーツやタオルなどの交換が不要と、宿泊客が伝えられるカードなどを部屋におくホテルはほかにも増えてきている。歯ブラシなどを客室に置かず、必要な人だけが受け取るようにしているホテルもある。意識してみると、ホテルが地球温暖化防止やごみ削減のために様々な環境対策をしていることが見えてくる。＊ｅｃｏ活（エコカツ）プラス"
"「脱石炭にかじ切るべき」経団連に呼びかけ　中川環境相","2018年1月16日14時50分","環境・エネルギー,環境・企業や技術","中川雅治環境相は１６日、経団連の榊原定征会長らと会談し、「我が国が進める石炭火力の海外展開に強い批判もある」などとして、地球温暖化への悪影響が強い石炭火力発電からの脱却を呼びかけた。中川氏は石炭火力に厳しい姿勢を強めており、経済界のトップに「直訴」した形だ。同日朝の環境省幹部と経団連との懇談会で、中川環境相は「世界のビジネスも政治も確実に脱石炭に向かっている」と指摘。「我が国も脱石炭にかじを切らなければ、資金調達が困難になり、グローバルなサプライチェーンから外されてしまう懸念がある」と述べた。排出量取引制度など、二酸化炭素排出に価格を付け削減を促す「カーボンプライシング（炭素の価格化）」についても、「今や世界の潮流と言っても過言ではなく、（日本も）着手すべき課題だ」と促した。ただ、非公開の場で、経団連側から慎重な意見が相次いだという。（小坪遊）"
"（ｅ潮流）送電線は「ガラ空き」か「満杯」か　竹内敬二","2017年12月26日16時30分","環境・エネルギー,環境・市民や行政,環境・企業や技術,有料会員限定記事","「全体スケジュールを１年程度延長していただきたい」１２月２２日、日本風力発電協会が、経済産業省資源エネルギー庁に一通の要望書を出した。北海道と東北北部で、国の指導のもと自然エネルギー発電所の建設と送電線増強などの負担を入札で決める「募集プロセス」が進む。風力発電を増やすのが主な目的だ。入札は来年２月の予定。ところが、建設を望んでいるはずの風力事業者が、「手続きを遅らせて欲しい」という異例の申し入れをしたのだ。なぜか。自然エネの導入は送電線の「空き容量」次第だ。空きがなければ送電線に接続できない。しかし、日本の空き容量の計算には大きな問題がある。欧州や米国では実際の電気の流れ（実潮流）をもとに計算するが、日本では「周辺のすべての発電所がフル出力で運転中」として考えているのだ。明らかな過剰想定だ。「満杯で空きがゼロ」とされる場所でも、本当はかなり「ガラ空き」であることが、最近指摘され始めた。政府は今、従来の考え方・計算法の変更を検討中だ。新しい考えは「日本版コネクト＆マネージ」とよばれる。「実潮流」の考えも一部取り入れ、「まず多くの発電所を接続し、混雑すれば運用を工夫する」ものだ。だが、新方式の細部は未定だ。風力発電協会は、新方式が固まってから入札をしたいといっている。当然だろう。従来の計算法のままで「もう入らない」と言われてはたまらない。太陽光発電協会も動いた。１２月８日の記者説明会で、「無駄な送電線建設の投資を避け、今ある送電線を最大限に活用するコネクト＆マネージの考えを早く導入して」と訴えた。同協会の担当者は現在の送電線運用を高速道路に例えた。「日本に登録されているすべての車が高速道路（送電線）へ出ると考え、１年のうち１時間でも渋滞が発生する状況ならば、だれも車（発電所）を新規に買えないというようなものだ」東北北部では送電線建設に千数百億円が必要とされている。これだって新方式ではかなり「不要」かもしれない。送電線は本当は空いているのか？（元朝日新聞編集委員）"
"（ｅｃｏ活プラス）国産認証材で家建てるには　協力を頼める工務店探しが重要","2017年12月19日16時30分","環境・エネルギー,環境・企業や技術,有料会員限定記事","持続可能な形で生産された国産の木材を使って家を建てるには――。神奈川県内に住む、生物多様性の普及・啓発をする一般社団法人ＣＥＰＡ（セパ）ジャパン代表の川廷（かわてい）昌弘さん（５４）と、パートナーでＮＰＯ法人ウィメンズアイ代表の石本めぐみさん（４７）は、新築した自宅に国際的な制度で認証された木材を使った。１１月に完成した家は、２階建てで、延べ床面積は約９０平方メートル。外壁や内壁をはじめ、天井や床、階段、台所のカウンターなど多くの部分に「森林管理協議会（ＦＳＣ）」（本部ドイツ）の基準で認証された国産材が使われている。川廷さんは、宮城県南三陸町の森林や製材所がＦＳＣ認証を２０１５年に取得した際にアドバイスした経緯があり、自宅の建材にも使いたいと考えた。住宅の建材は、森で伐採後、製材所で切断され、工務店などへ運ばれる。認証材を使うには、この過程でほかの木材と混ざっていないことが確認される必要がある。川廷さんも最初はどうすれば良いかわからなかった。国産材を積極的に使う工務店なら協力してくれるかも知れないと考え、ネットで探したところ、近くの工務店「ホームスイートホームメイド」を見つけた。依頼を受けた設計士の遠藤良行さん（５３）は「工務店の業界で認証材の認知度は低く、こうした注文は初めてだった。持続可能性などを考えるという志が共感できた」と話す。同社がおもに使う神奈川県産の木材に認証材はなく、南三陸町のスギと山梨県のカラマツの認証材を取り寄せた。産地から個別に運ぶため、追加で取り寄せる必要がないように使用量を厳密に計って注文した。川廷さんによると、運搬料は割高になったが、本棚の部材は切断して宅配便で送ってもらったり、しっくい塗りを友人らに手伝ってもらったりして、最終的な建築費は一般的な国産材を使った場合と大差なかったという。「協力してくれる工務店を探すことが一番重要だと感じた。小さな部材の一部だけでも認証材を使うことは、比較的手軽にできるのでは」と話す。地域によっては認証林が多く、製材所や工務店が認証を持っていることもある。静岡県浜松市の場合、地元の木材で住宅を建てると、ＦＳＣ認証材が使われていることが多い。「三菱地所ホーム」（本社・東京）は２０１１年から、住宅の床材に、山梨県産のＦＳＣ認証カラマツを使ってきた。現在は構造材約３５％に国産認証材を使う。小沼伸太郎・発注・購買部長は「認証材は、使っていかないと増えない。将来的には割合をもっと増やす」と話している。（神田明美）＜ｅｃｏ活の鍵＞木材の割合など一定の基準を満たせば、住宅自体もＦＳＣ認証を受けることができる。川廷さんは「プロジェクト認証」という方法で、認証を取得した。壁や階段、カウンターなどで、あらかじめ認証材を使うことを決め、その部分が認証材だということが審査を受けて確認される方法だ。ＦＳＣジャパンは、建築主と直接つながる工務店への普及を目指し、来年にも説明会を開く予定だ。＊ｅｃｏ活（エコカツ）プラス"
"パーム油発電、計画申請急増　燃料用生産量の半分必要、持続可能か懸念","2017年12月7日05時00分","環境・エネルギー,環境・企業や技術,有料会員限定記事","アブラヤシの実からとれる「パーム油」を燃料に使うバイオマス発電の計画申請が国内で急増している。地球温暖化対策になる再生可能エネルギーのひとつだが、申請全体で必要な量が世界の燃料用パーム油生産量の半分にも匹敵する。過剰な計画は原産国の環境破壊につながりかねず、持続可能性にむしろ疑問符がつく。（小堀龍之、戸田政考）旅行大手エイチ・アイ・エス（ＨＩＳ）は今年４月、宮城県内にパーム油を使ったバイオマス発電所を建設すると発表した。子会社が運営し、出力は約４万キロワットで、２０１９年７月の運転開始を予定。「すべてにおける正式な契約はまだだが、契約に向けて動いているところ」と広報担当者はいう。こうした計画が各地で増えている。再生可能エネルギーの「固定価格買い取り制度（ＦＩＴ）」で、電力会社に電気を高く買い取ってもらえるからだ。太陽光発電は買い取り価格が下がり土地の確保も難しくなり、代わって、欧州で使われていたパーム油に注目が集まった。■開発で環境破壊経済産業省によると、９月末時点でＦＩＴ認定されたバイオマス発電の計画は出力約１３００万キロワットに達し、うちパーム油が約５００万キロワットと約４割を占める。原発５基分だ。もしすべてがフル稼働すれば、パーム油は年約１千万トン必要とされる。これは燃料用パーム油「ＲＢＤステアリン」の世界生産量の半分にあたる。環境ＮＧＯは、インドネシアやマレーシアのアブラヤシ農園の開発で、オランウータンなど貴重な生物がすむ森や湿地が破壊され、強制労働による人権侵害もあると批判する。「地球・人間環境フォーラム」の飯沼佐代子さんは「パーム油の二酸化炭素排出量は泥炭湿地開発の影響も考えると、石炭より多いという試算もある」と指摘する。日本消費生活アドバイザー・コンサルタント・相談員協会の辰巳菊子常任顧問は「パーム油は化粧品や食品など様々なところに使われている。原料価格が上がり、ほかの産業にも影響が出かねない」と懸念する。■欧州は規制強化海外では今年６月、ノルウェーが政府調達のパーム油の燃料利用を世界で初めて禁止したほか、欧州議会が４月、パーム油燃料の段階的禁止を含む決議を出すなど規制強化が始まった。日本では、経産省が有識者会議の意見をもとに、来年度からパーム油のＦＩＴ認定の方法を見直す方針。発電方式が違うほかのバイオマス燃料と区別し、持続可能性や合法性を第三者による国際認証で確認することを検討している。競争でコストを下げる入札導入も検討。すでに認定を受けた計画も「すべて稼働するとは考えづらい」という。国内でも一部の企業で計画を見直す動きが出てきたが、事態がどう動くかは見通せない。規制強化が進む欧州で使われなくなる分が日本に流れてくる可能性もある。また、国際認証のパーム油は全体の約２割しかなく、問題があるものも流入しかねない。自然エネルギー財団の相川高信上級研究員は「環境問題で批判されるリスクがあるパーム油発電を、国民負担で普及を促すＦＩＴで日本があえて進める必要があるか、慎重に検討すべきだ。パーム油以外にも新しい燃料が登場しており、バイオマス発電で使う燃料全体の持続可能性を議論する必要がある」と指摘する。"
